"id","date_time","center_name","phone","address_1","address_2","region","city","capacity","on_map","okrug","big","oms","email","devices","shifts"
"21","0000-00-00 00:00:00","МУЗ 'Дубненская городская больница' (отделение гемодиализа)","(495)5126296","ул. Макаренко д. 30, к. 1","д. 30, к. 1","Московская область","Дубна","(56.752736, 37.14030500000001):8","0","cfo","","","","",""
"22","0000-00-00 00:00:00","МБУЗ 'ГКБ' г.о. Жуковский (отделение диализа)","(495)5619588","ул. Фрунзе д. 1","д. 1","Московская область","Жуковский","(55.59798199999999, 38.12745700000005):8","0","cfo","","","","",""
"23","0000-00-00 00:00:00","МУЗ Городская б-ца N1 (отделение гемодиализа)","495)5618598","ул. Циолковского д. 24","д. 24","Московская область","Королёв","(55.919359, 37.827129900000045):8","0","cfo","","","","",""
"24","0000-00-00 00:00:00","ЦВКГ им. А.А. Вишневского (отделение гемодиализа)","(496)4256125","ул. п/о Архангельское ","","Московская область","Красногорск","(55.78781559999999, 37.28460110000003):8","0","cfo","","","","",""
"25","0000-00-00 00:00:00","Главный военный клинический госпиталь ВВС (отделение гемодиализа)","(496)6476869,6476868","ул. Светлая д.  11","д.  11","Московская область","Красногорск","(55.8334359, 37.28179780000005):8","0","cfo","","","","",""
"26","0000-00-00 00:00:00","МУЗ 'Первая городская больница' (отделение гемодиализа)","(496)5510567","ул. Барышникова д. 13","д. 13","Московская область","Орехово-Зуево","(55.80143700000001, 38.99782200000004):8","0","cfo","","","","",""
"27","0000-00-00 00:00:00","Ступинская центральная районная клиническая больница (отделение гемодиализа)","(4967)375232","ул. Чайковского д. 7/1","д. 7/1","Московская область","Ступино","(54.883331, 38.072877999999946):8","0","cfo","","","","",""
"28","0000-00-00 00:00:00","Диализный центр ООО «Нефролайн-МО»","(499)551–01–12","ул. Дружбы, д. 14а, пом. 1, к. 4","д. 14а, пом. 1, к. 4","Московская область","Сергиев Посад","(56.32764299999999, 38.138562099999945):8","120","cfo","Крупные амбулаторные центры – от 50 мест","","","",""
"29","0000-00-00 00:00:00","Диализный центр ООО «Нефролайн-МО»","(495)5571297","ул. Революции д. 31, офис 22","д. 31, офис 22","Московская область","Серпухов","(54.9160702, 37.4224931):8","60","cfo","Крупные амбулаторные центры – от 50 мест","","","",""
"30","0000-00-00 00:00:00","Диалог","(926)1871726"," Маяковского, д. 21","д. 21","Московская область","Истра","(55.9228548, 36.87226429999998):8","120","cfo","Крупные амбулаторные центры – от 50 мест","","","",""
"31","0000-00-00 00:00:00","Гальмед","(496)6964275","Люберецкий район, пос. Томилино,мкрн. Птицефабрика ","мкрн. Птицефабрика","Московская область","Люберцы","(55.6433009, 37.933180900000025):8","120","cfo","Крупные амбулаторные центры – от 50 мест","","","",""
"32","0000-00-00 00:00:00","Гальмед","(926)3542733","Ленина ул., 17, пос. Дмитровский Погост","д. 17","Московская область","пос. Дмитровский Погост","(55.319187, 39.824984900000004):8","100","cfo","Крупные амбулаторные центры – от 50 мест","","","",""
"33","0000-00-00 00:00:00","Гальмед","(496)4623871","ул. Больничная, д. 2","д. 2","Московская область","Кашира","(54.850831, 38.25725799999998):8","80","cfo","Крупные амбулаторные центры – от 50 мест","","","",""
"34","0000-00-00 00:00:00","Гальмед","(496)4161757,(925)1784603","ул. Семашко, д. 1","д. 1","Московская область","Электрогорск","(55.8839207, 38.78885379999997):8","90","cfo","Крупные амбулаторные центры – от 50 мест","","","",""
"35","0000-00-00 00:00:00","Гальмед","9256337778","пос Кратово, ул. Чурилина, д. 10","д. 10","Московская область","Раменское","(55.606965, 38.13142400000004):8","130","cfo","Крупные амбулаторные центры – от 50 мест","","","",""
"36","0000-00-00 00:00:00","Гальмед","(49643)52947","ул. Ленина, д. 103","д. 103","Московская область","Орехово-Зуево","(55.8107797, 38.992074199999934):8","90","cfo","Крупные амбулаторные центры – от 50 мест","","","",""
"37","0000-00-00 00:00:00","Анко-трейд","(495)26353372630457","Фрунзе, д. 28а","д. 28а","Московская область","Павловский Посад","(55.772325, 38.675213299999996):5","70","cfo","Крупные амбулаторные центры – от 50 мест","","","",""
"38","0000-00-00 00:00:00","Анко-трейд","(495)6132468","ул. Красная, д. 48","д. 48 (здание МСЧ) ","Московская область","Электросталь","(55.780485, 38.453175999999985):8","90","cfo","Крупные амбулаторные центры – от 50 мест","","","",""
"39","0000-00-00 00:00:00","ГВКГ им. акад. Н.Н. Бурденко (Отд. гемодиализа, заготовки и трансплант. органов)","(495)2481587","ул. Госпитальная площадь д.  3","д.  3","Москва","Москва","(55.7678384, 37.698441499999944):8","0","cfo","","","","",""
"40","0000-00-00 00:00:00","Гематологический НЦ РАМН (Отд. скорой мед. помощи, полиорган. патологии)","84991963122","ул. Ново-Зыковский проезд, д. 4а","д. 4а","Москва","Москва","(55.800273, 37.55272200000002):8","0","cfo","","","","",""
"41","0000-00-00 00:00:00","ГУ РНЦХ им. акад. Б.В. Петровского РАМН (Лаборатория гемодиализа)","(499)7288211","ул. Абрикосовский пер. д. 2","д. 2","Москва","Москва","(55.73007399999999, 37.56401800000003):8","0","cfo","","","","",""
"42","0000-00-00 00:00:00","ГБУЗ ГКБ №52 ДЗ г.Москвы (отделение перитонеального диализа )","(499)2367436","ул. Пехотная д. 3","д. 3","Москва","Москва","(55.80071599999999, 37.482080999999994):8","0","cfo","","","","",""
"43","0000-00-00 00:00:00","ГКБ им. С.П.Боткина (отделение гемодиализа)","(495)6136614","ул. 2-й Боткинский проезд  д. 5","д. 5","Москва","Москва","(55.7814079, 37.554804099999956):8","0","cfo","","","","",""
"44","0000-00-00 00:00:00","ГКБ №1 им. Н.И. Пирогова (отделение гемодиализа)","(495)6770972,(495)6113303","ул. Ленинский пр-т д. 10","д. 10","Москва","Москва","(55.7070786, 37.57830100000001):8","0","cfo","","","","",""
"45","0000-00-00 00:00:00","ГКБ №24 (отделение гемодиализа)","(499)9409457","ул. Писцовая д. 10","д. 10","Москва","Москва","(55.798327, 37.57894599999997):8","0","cfo","","","","",""
"46","0000-00-00 00:00:00","ГКБ №50 (отделение гемодиализа)","(495)4340110,(495)9369313","ул. Вучетича д. 21","д. 21","Москва","Москва","(55.81166899999999, 37.55634800000007):8","0","cfo","","","","",""
"47","0000-00-00 00:00:00","Госпиталь Ветеранов войн №2 (отделение гемодиализа)","(495)2485976,(495)2486155","ул. Волгоградский пр-т д. 168","д. 168","Москва","Москва","(55.690031, 37.81330600000001):8","0","cfo","","","","",""
"48","0000-00-00 00:00:00","ФГБУ Российская детская клиническая больница МЗ РФ (отделение по пересадке почки)","(495)9256887","ул. Ленинский пр-т д. 117","д. 117","Москва","Москва","(55.651615, 37.49045879999994):8","0","cfo","","","","",""
"49","0000-00-00 00:00:00","Клиника нефрологии, внутренних и профессиональных болезней ММА им И.М. Сеченова (отделение искусственная почка)","(499)1963991","ул. Россолимо д. 11а","д. 11а","Москва","Москва","(55.7341881, 37.5822574):8","0","cfo","","","","",""
"50","0000-00-00 00:00:00","НУЗ ЦКБ №1 ОАО РЖД (отделение гемодиализа)","(499)2687426","ул. Волоколамское ш. д.  84, к.6","д.  84, к.6","Москва","Москва","(55.818319, 37.45817499999998):8","0","cfo","","","","",""
"51","0000-00-00 00:00:00","ГБУЗ ГКБ №52 ДЗ г.Москвы (отделение гемодиализа)","(499)7823065,1188274","ул. Пехотная  д. 3, к.3","д. 3, к.3","Москва","Москва","(55.8023015, 37.48420409999994):8","100","cfo","Крупные амбулаторные центры – от 50 мест","","","",""
"52","0000-00-00 00:00:00","ГБУЗ ДГКБ им. Св. Владимира (Центр гравитационной хирургии крови и гемодиализа)","(495)4643654","ул. Рубцовско-Дворцовая д. 1/3","д. 1/3","Москва","Москва","(55.786846, 37.694338000000016):8","0","cfo","","","","",""
"53","0000-00-00 00:00:00","ГКБ №7 (отделение гемодиализа)","(495)4413074","ул. Коломенский пр-д д. 4","д. 4","Москва","Москва","(55.66294569999999, 37.64071530000001):8","0","cfo","","","","",""
"54","0000-00-00 00:00:00","ГУ Национальный медико-хирургический центр им Н.И.Пирогова (отделение нефрологии и диализа)","(499)1508373","ул. Нижняя Первомайская д. 70","д. 70","Москва","Москва","(55.790905, 37.81997799999999):8","0","cfo","","","","",""
"55","0000-00-00 00:00:00","КБ №1 МЦ ЦД Президента РФ (отделение экстракорпоральных методов лечения)","(495)6252583","ул. Староволынская д. 10","д. 10","Москва","Москва","(55.7186379, 37.48243419999994):8","0","cfo","","","","",""
"56","0000-00-00 00:00:00","Клинический госпиталь МСЧ ГУВД г. Москвы (отделение гемодиализа и гравитационной хирургии крови)","(499)2481344","ул. Новая Ипатовка д. 4","д. 4","Москва","Москва","(55.815788, 37.537257899999986):8","0","cfo","","","","",""
"57","0000-00-00 00:00:00","НИИ СП им. Н.В. Склифосовского (Отделение трансплантации почки и поджелудочной железы)","(495)9369309","ул. Б.Сухаревская д. 3, корп. 2","д. 3, корп. 2","Москва","Москва","(55.7743253, 37.63377839999998):8","0","cfo","","","","",""
"58","0000-00-00 00:00:00","ФГБУ РНЦХ им. акад. Б.В. Петровского РАМН (отделение трансплантации почки)","(495)1249229","ул. Абрикосовский пер. д. 2, кор.В","д. 2, кор.В","Москва","Москва","(55.730552, 37.56523089999996):8","0","cfo","","","","",""
"59","0000-00-00 00:00:00","ФГБУ Российская детская клиническая больница МЗ РФ (отделение гемодиализа)","(495)1901475,1938822","ул. Ленинский пр-т д. 117, к.8","д. 117, к.8","Москва","Москва","(55.651615, 37.49045879999994):8","0","cfo","","","","",""
"60","0000-00-00 00:00:00","ФГБУ Эндокринологический научный центр МЗиСР РФ (отделение диабетической нефропатии и гемодиализа)","(495)3443614","ул. Дмитрия Ульянова д. 11","д. 11","Москва","Москва","(55.6902061, 37.569194700000025):8","0","cfo","","","","",""
"61","0000-00-00 00:00:00","ФГУ НИИ транспланталогии и искусственных органов (отделение гемодиализа)","(495)6845686,6317239","ул. Щукинская д. 1","д. 1","Москва","Москва","(55.807699, 37.48227799999995):8","0","cfo","","","","",""
"62","0000-00-00 00:00:00","ФГУЗ КБ №83 ФМБА России (отделение гемодиализа)","84953751344","ул. Ореховый б-р д. 28","д. 28","Москва","Москва","(55.616514, 37.76393299999995):8","0","cfo","","","","",""
"63","0000-00-00 00:00:00","ГУ МОНИКИ им. М.Ф. Владимирского (Отделение хронического гемодиализа и трансплантации почки)","(095)4140484,4140262","ул. Щепкина д. 61/2, кор.6","д. 61/2, кор.6","Москва","Москва","(55.7848536, 37.62821889999998):8","0","cfo","","","","",""
"64","0000-00-00 00:00:00","ГКБ № 15 им. О.М. Филатова (отделение гемодиализа)","0","ул. Вешняковская д. 23","д. 23","Москва","Москва","(55.7311305, 37.83337059999997):8","0","cfo","","","","",""
"65","0000-00-00 00:00:00","ЦКБ МЦ УД Президента РФ (отделение гемодиализа) ","0","ул. Маршала Тимошенко, д. 15","д. 15 ","Москва","Москва","(55.7465969, 37.38959790000001):8","0","cfo","","","","",""
"66","0000-00-00 00:00:00","?????","(49638)22646","?????","","Московская область","Пушкино","","120","cfo","Крупные амбулаторные центры – от 50 мест","","","",""
"67","0000-00-00 00:00:00","нефролайн","(496)2477691","?????","","Московская область","Щёлково","","0","cfo","","","","",""
"68","0000-00-00 00:00:00","Гиппократ","+7(4162)429205, 429695","Ул.Амбулаторная, д. 1, корпус 4","д. 1, корпус 4","Московская область","Можайск","(55.503943, 36.025765999999976):8","60","cfo","Крупные амбулаторные центры – от 50 мест","","","",""
"69","0000-00-00 00:00:00","Гиппократ","+7(41641)21560","пер Ворошиловский д. 5","","Московская область","Клин","(56.3395643, 36.76056440000002):8","60","cfo","Крупные амбулаторные центры – от 50 мест","","","",""
"70","0000-00-00 00:00:00","ОГУЗ Амурская ОКБ (кабинет гемодиализа)","+7(426)2243691","ул. Воронкова, д. 26","д. 26","Амурская область","Благовещенск","(50.3054476, 127.5064122):15","90","dfo","Крупные амбулаторные центры – от 50 мест","","","",""
"71","0000-00-00 00:00:00","Нефролайн","73499530682","ул. Сорикова, д. 2, к.12","д. 2, к.12","Амурская область","Белогорск","(50.9218041, 128.47969160000002):8","30","dfo","","","","",""
"72","0000-00-00 00:00:00","ОГБУЗ Областная больница (отделение хронического гемодиализа и нефрологии)","+7(42622)70310","ул. Коллективная, д. 35","д. 35","Еврейская автономная область","Биробиджан","(48.7743113, 132.90791590000003):8","20","dfo","","","","",""
"73","2017-11-27 03:15:47","«Надымская центральная районная больница»","+7(4152)468473","ул. Сенькина, дом 2","","Ямало-Ненецкий автономный округ","Надым","(65.5321752, 72.50022379999996):8","0","urfo","","","","",""
"74","0000-00-00 00:00:00","Нефролайн","+7(41522)48415, 41405","ул. Миллера, д. 8, литер 6а","д. 8, литер 6а, офис 2","Еврейская автономная область","Биробиджан","(48.7876559, 132.9377561):8","60","dfo","Крупные амбулаторные центры – от 50 мест","","","",""
"75","0000-00-00 00:00:00","ГУЗ Камчатская краевая больница им. А.С. Лукашевского (Отделение гемодиализа и гравитационной хирургии крови)","+7(4132)2628434","ул. Ленинградская, д. 112","д. 112","Камчатский край","Петропавловск-Камчатский","(53.0385432, 158.66017290000002):8","30","dfo","","","","",""
"76","NULL","Военно-морской госпиталь (отделение 'Искусственная почка')","+7(4232)639256, 639794","ул. Петропавловск-Камчатский-15, ВЧ 20, д. 814","д. 814","Камчатский край","Петропавловск-Камчатский","Военно-морской госпиталь (отделение 'Искусственная почка')","0","dfo","","","","",""
"77","0000-00-00 00:00:00","Магаданская ОБ (отделение АР и ИТ)","+7(423)2325643","ул. Нагаевская, д. 40","д. 40","Магаданская область","Магадан","(59.5590674, 150.79559470000004):8","0","dfo","","","","",""
"78","0000-00-00 00:00:00","Главный госпиталь ТОФ (отделение гемодиализа)","+7(914)6968125, (924)3353075","ул.Ивановская, д. 4","д. 4","Приморский край","Владивосток","(43.111369, 131.92965720000007):8","20","dfo","","","","",""
"79","NULL","КГАУЗ ""ВКБ №2"" (Краевое государственное автономное учреждение здравоохранение ""Владивостокская клиническая больница №2"") (отделение нефрологии)","+7(4236)662787","ул. Русская, д. 57","д. 57","Приморский край","Владивосток","КГАУЗ ""ВКБ №2"" (Краевое государственное автономное учреждение здравоохранение ""Владивостокская клиническая больница №2"") (отделение нефрологии)","20","dfo","","","","",""
"80","0000-00-00 00:00:00","КГБУЗ 'Уссурийская ЦГБ' Структурное подразделение 'Поликлиника №2' (Центр амбулаторного диализа)","+7(4236)903193","ул. Комсомольская, д. 55","д. 55","Приморский край","Уссурийск","(43.8043694, 131.94498699999997):8","92","dfo","Крупные амбулаторные центры – от 50 мест","","","",""
"81","NULL","КГБУЗ 'Городская больница' структурное подразделение №1 (Центр амбулаторного диализа)","+7(985)9100960","ул. Пирогова, д. 9","д. 9","Приморский край","Находка","КГБУЗ 'Городская больница' структурное подразделение №1 (Центр амбулаторного диализа)","40","dfo","","","","",""
"82","0000-00-00 00:00:00","ООО ЭВЕРЕСТ","+7(914)9713299","ул. Пирогова, д. 13, стр. 1","д. 13, стр. 1","Приморский край","Находка","(42.7786245, 132.8622573):8","40","dfo","","","","",""
"83","0000-00-00 00:00:00","ООО ЭВЕРЕСТ","+7(4112)343657, 395708","ул. Октябрьская, д. 59б, пом. 1","д. 59б, пом. 1","Приморский край","Арсеньев","(44.16897489999999, 133.26136930000007):8","40","dfo","","","","",""
"84","0000-00-00 00:00:00","ООО ЭВЕРЕСТ"," +74112426548","Спасский район, с. Спасское, пер. Больничный, д. 1","д. 1","Приморский край","Спасское","(44.6142364, 132.79667629999994):8","0","dfo","","","","",""
"85","0000-00-00 00:00:00","ГБУ РС(Я) 'РБ № 1 - Национальный центр медицины' (отделение хронического гемодиализа и нефрологии)","+7(4112)426548","ул. Сергеляхское, д. 4","д. 4","Республика Саха","Якутск","(62.02603800000001, 129.63036899999997):8","20","dfo","","","","",""
"86","2017-11-27 02:03:08","Якутская больница ФГБУЗ ДВОМЦ ФМБА России, отделение гемодиализа","+7(41147)69652","п. Жатай, ул. Комсомольская, 54","","Республика Саха","Якутск","(62.158069, 129.82156499999996):8","0","dfo","","","","",""
"87","0000-00-00 00:00:00","Якутская Больница ФГБУЗ Дальневосточный окружной медицинский центр ФМБА России (отделение диализа)","+7(4112)320301","ул. Комсомольская, д. 54","д. 54","Республика Саха","Якутск","(61.4740672, 129.12622750000003):8","0","dfo","","","","",""
"88","0000-00-00 00:00:00","ГБУ РС (Я) 'Нерюнгринская ЦРБ' (отделение хронического гемодиализа)","+7(41136)43780","ул. Сосновая, д. 2","д. 2","Республика Саха","Нерюнгри","(56.6627735, 124.73653469999999):8","30","dfo","","","","",""
"89","0000-00-00 00:00:00","Диалог","74215331430","ул. Якова Потапова,  д. 21","д. 21","Республика Саха","Якутск","(62.01016199999999, 129.67784499999993):8","5","dfo","","","","",""
"90","0000-00-00 00:00:00","МЗ РС(Я) ГБУ РС(Я) 'Мирнинская ЦРБ' (отделение хронического гемодиализа)","74112320304","ул. Павлова, д. 6","","Республика Саха","Мирный","(62.54353529999999, 113.97712000000001):8","0","dfo","","","","",""
"91","2017-11-27 03:09:06","КГБУЗ «Вяземская районная больница», отделение хронического гемодиализа","+7(4242)497332","ул. Коммунистическая, 64","","Хабаровский край","Вяземский","(47.5216892, 134.761433):8","0","dfo","","","","",""
"92","0000-00-00 00:00:00","Центр Гемодиализа","78452569510","Ул. Якова Потапова д. 21","д. 21","Республика Саха","Якутск","(62.01016199999999, 129.67784499999993):8","80","dfo","Крупные амбулаторные центры – от 50 мест","","","",""
"93","0000-00-00 00:00:00","ОГУЗ 'Сахалинская областная больница' (отделение гемодиализа и плазмафереза)","+7(4242)736887","ул. Мира, д. 430","д. 430","Сахалинская область","Южно-Сахалинск","(46.9280873, 142.74613):8","10","dfo","","","","",""
"94","2017-11-27 02:56:19","Клиническая больница им. С.Р. Миротворцева СГМУ, клиника урологии и нефрологии","+7(4212)757500","ул. Б.Садовая,137 ","","Саратовская область","Саратов","(51.533358, 45.983939899999996):8","0","pfo","","","","",""
"95","0000-00-00 00:00:00","Диализный центр","+7(4212)980697, 409312","пр. Мира, д. 367","д. 367","Сахалинская область","Южно-Сахалинск","(46.929111, 142.74710000000005):8","30","dfo","","","","",""
"96","0000-00-00 00:00:00","Центр амбулаторного гемодиализа B. Braun","74754553018","ул. Краснодарская, д. 7","д. 7","Хабаровский край","Хабаровск","(48.5186426, 135.10834550000004):8","180","dfo","Крупные амбулаторные центры – от 50 мест","","","",""
"97","0000-00-00 00:00:00","Негосударственное учреждение здравоохранения 'Дорожная клиническая больница на ст. Хабаровск - 1 ОАО 'РЖД' (нефрологическое отделение с гемодиализом и ЭХК)","+7(4212)395260","ул. Воронежская, д. 49/1","д. 49/1","Хабаровский край","Хабаровск","(48.51014319999999, 135.06751350000002):8","30","dfo","","","","",""
"98","2017-11-27 03:05:42","ТОГБУЗ «Городская больница им. С.С. Брюхоненко г. Мичуринска» , ","+7(421)7549641","Липецкое шоссе, 26 ","","Тамбовская область","Мичуринск","(52.891179, 40.48076400000002):8","0","cfo","","","","",""
"99","0000-00-00 00:00:00","Окружной военный госпиталь №301 (отделение анестезиологии и реанимации)","+7(347)2289376","ул. Серышева, д. 1","д. 1","Хабаровский край","Хабаровск","(48.4783742, 135.05001270000002):8","20","dfo","","","","",""
"100","0000-00-00 00:00:00","МУЗ 'Городская больница № 3' (отделение хронического гемодиализа)","+7(347)2512079","ул. Капровая, д. 8","д. 8","Хабаровский край","Комсомольск-на-Амуре","(50.5698064, 136.99174419999997):17","90","dfo","Крупные амбулаторные центры – от 50 мест","","","",""
"101","0000-00-00 00:00:00","ГБУЗ РКБ им. Г.Г. Куватова (отделение диализа)","+7(347)2554084","ул. Достоевского, д. 132","д. 132","Башкортостан","Уфа","(54.7302262, 55.96724859999995):8","18","pfo","","","","",""
"102","0000-00-00 00:00:00","ГБУЗ РКБ им. Г.Г. Куватова (хирургическое отделение №5 / центр трансплантации органов)","+7(347)2548821, +7(347)2290835,","ул. Достоевского, д. 132","д. 132","Башкортостан","Уфа","(54.7302262, 55.96724859999995):8","18","pfo","","","","",""
"103","0000-00-00 00:00:00","ГБУЗ Республиканский кардиологический диспансер (Центр амбулаторного диализа)","+7(347)2377792, 2465343","ул. Степана Кувыкина, д. 96","д. 96","Башкортостан","Уфа","(54.71110299999999, 56.00189499999999):8","30","pfo","","","","",""
"104","0000-00-00 00:00:00","Детская РКБ (отделение гемодиализа)","+7(343)395103","ул. Степана Кувыкина, д. 96","д. 96","Башкортостан","Уфа","(54.71110299999999, 56.00189499999999):8","20","pfo","","","","",""
"105","0000-00-00 00:00:00","МУ ГКБ № 21 городского округа г.Уфа (отделение амбулаторного гемодиализа)","+7(347)2463816","ул. Лесной пр-д, д. 3","д. 3","Башкортостан","Уфа","(54.7395691, 56.01655470000003):8","40","pfo","","","","",""
"106","0000-00-00 00:00:00","ООО ""Сфера-Эстейт"" (Центр амбулаторного диализа)","+7(3473)241212","ул. Ферина, д. 13","д. 13","Башкортостан","Уфа","(54.7830817, 56.13324280000006):8","164","pfo","Крупные амбулаторные центры – от 50 мест","","","",""
"107","0000-00-00 00:00:00","Филиал АО ""Медторгсервис"", г. Уфа (Центра амбулаторного гемодиализа )","+7(3473)268222, (3473)301025","ул. Карла Маркса, д. 48, к.2","д. 48, к.2","Башкортостан","Уфа","(54.73854309999999, 55.947334700000056):8","18","pfo","","","","",""
"108","0000-00-00 00:00:00","МБУЗ КБ №1 (отделение нефрологии и гемодиализа)","+7(34783)33747","ул. Коммунистическая, д. 97","д. 97","Башкортостан","Стерлитамак","(53.6159051, 55.91079949999994):8","25","pfo","","","","",""
"109","0000-00-00 00:00:00","ООО 'Лаборатория гемодиализа' отделение г.Стерлитамак (отделение гемодиализа)","+7(34767)43103","ул. Патриотическая, д. 59","д. 59","Башкортостан","Стерлитамак","(53.60115099999999, 55.95242099999996):8","90","pfo","Крупные амбулаторные центры – от 50 мест","","","",""
"110","0000-00-00 00:00:00","ООО 'Лаборатория гемодиализа' (отделение гемодиализа)","+7(34763)51477","ул. Парковая, д. 31","д. 31","Башкортостан","Нефтекамск","(56.0866104, 54.23533079999993):8","30","pfo","","","","",""
"111","0000-00-00 00:00:00","ООО 'Лаборатория гемодиализа' (отделение гемодиализа)","+7(34786)47715","ул. 36-й микрорайон, д. 1","д. 1","Башкортостан","Октябрьский","(54.47227170000001, 53.528981499999986):8","30","pfo","","","","",""
"112","0000-00-00 00:00:00","Нефролайн","+7(34792)59862","ул. Чапаева, д. 12","д. 12о","Башкортостан","Салават","(53.36478479581864, 55.937068320376625):17","60","pfo","Крупные амбулаторные центры – от 50 мест","","","",""
"113","0000-00-00 00:00:00","МУ ЦБ Белебеевского района (Центр амбулаторного диализа)","+7(34762)56164","ул. Революционеров, д. 7а","д. 7а","Башкортостан","Белебей","(54.1047686, 54.09567119999997):8","35","pfo","","","","",""
"114","0000-00-00 00:00:00","Нефролайн","+7(34761)41700, 41724","ул. М.Гафури, д. 142а","д. 142а","Башкортостан","Белорецк","(53.9668395, 58.43997020000006):8","54","pfo","Крупные амбулаторные центры – от 50 мест","","","",""
"115","0000-00-00 00:00:00","Нефролайн","+7(34775)50448","Илишевский район, с. Верхнеяркеево, Худайбердина, д. 1","д. 1","Башкортостан","с. Верхнеяркеево","(55.4513925, 54.3224252):8","24","pfo","","","","",""
